ID_ENCUESTA,ID_VEHICULO,ID_TIPOVEHICULO,ID_COMBUSTIBLE,MUNICIPIO_MATRICULA,PERTENECE_VEHICULO,PERSONA_DUENOVEHICULO,EXENTO_PICOYPLACA,RAZON_EXENTO,DONDE_GUARDAVEHICULO,VALOR_PARQUEO
18586646,1,1,1,11001,1,1,2,-1,1,-1
18586646,2,4,1,11001,1,3,1,12,1,-1
18587856,1,1,1,BOGOTA,1,1,2,-1,2,0
18587858,1,1,1,BOGOTA,1,1,2,-1,2,0
18587865,1,2,1,11001,1,1,2,-1,3,100000
18587866,1,4,1,11001,2,-1,1,2,1,-1
18587934,1,4,1,0,1,1,1,12,1,-1
18587940,1,1,1,BOGOTA,1,1,2,-1,2,30000
18587940,2,4,1,BOGOTA,1,1,1,12,2,0
18588020,1,4,1,BOGOTA,1,1,2,-1,2,15000
18588055,1,1,1,BOGOTA,1,1,2,-1,2,18000
18588108,1,4,1,BOGOTA,1,1,1,12,1,-1
18588109,1,2,2,BOGOTA,1,1,2,-1,1,-1
18588110,1,1,1,BOGOTA,1,1,2,-1,1,-1
18588204,1,4,1,11001,1,1,2,-1,1,-1
18589381,1,2,1,BOGOTA,1,1,2,-1,1,-1
18589382,1,3,1,CALI,1,1,1,10,1,-1
18589407,1,1,1,BOGOTA,1,3,2,-1,1,-1
18589959,1,4,1,BOGOTA,1,2,1,12,1,-1
18589962,1,4,1,BOGOTA,1,2,1,12,1,-1
18589964,1,1,1,BOGOTA,1,1,2,-1,1,-1
18589966,1,1,1,BOGOTA,1,2,2,-1,1,-1
18590053,1,4,1,FUNSA,1,1,1,1,1,-1
18590066,1,1,1,CHIA,1,2,2,-1,1,-1
18590092,1,4,1,BOGOTA,1,1,2,-1,1,-1
18590094,1,8,1,BOGOTA,4,-1,2,-1,4,20000
18590095,1,1,1,BOGOTA,1,1,1,3,1,-1
18590258,1,4,1,11001,1,1,1,12,1,-1
18590303,1,4,1,BOGOTA,1,1,2,-1,1,-1
18590344,1,1,1,BOGOTA,1,1,2,-1,1,-1
18590345,1,1,1,BOGOTA,1,1,2,-1,1,-1
18590345,2,1,1,BOGOTA,1,1,2,-1,1,-1
18590347,1,2,2,CALERA,1,2,1,4,1,-1
18590348,1,1,1,BOGOTA,1,3,2,-1,1,-1
18590348,2,2,2,BOGOTA,1,1,2,-1,1,-1
18590349,1,1,1,BOGOTA,1,1,2,-1,1,-1
18590349,2,4,1,BOGOTA,1,1,1,12,1,-1
18590382,1,1,1,11001,1,1,2,-1,3,100000
18590392,1,2,1,FACA,1,1,2,-1,1,-1
18590394,1,4,1,BOGOTA,1,2,1,12,1,-1
18590430,1,1,1,BOGOTA,1,1,2,-1,2,0
18590430,2,4,1,BOGOTA,1,1,2,-1,2,0
18590471,1,2,5,PAQUITA,1,1,1,12,2,80000
18590591,1,1,2,BOGOTA,1,1,2,-1,1,-1
18590677,1,89,1,ZIPAQUIRA,1,1,1,-1,3,-1
18590828,1,1,1,GIRARDOT,1,1,2,-1,1,-1
18590828,2,4,1,BOGOTA,1,1,1,12,1,-1
18590876,1,1,1,11001,1,1,2,-1,3,120000
18590880,1,1,1,11001,1,1,2,-1,3,62000
18590943,1,1,1,11001,1,1,2,-1,3,120000
18590943,2,4,1,11001,1,4,1,12,1,-1
18591056,1,1,1,473,1,1,2,-1,2,100000
18591084,1,1,1,BOGOTA,1,1,2,-1,1,-1
18591085,1,1,1,11001,1,1,2,-1,3,60000
18591091,1,1,1,11001,1,1,2,-1,1,-1
18591092,1,1,1,11001,1,1,2,-1,1,-1
18591110,1,1,1,11001,1,1,2,-1,1,-1
18591112,1,1,1,11001,1,1,2,-1,3,40000
18591115,1,1,1,11001,1,3,2,-1,1,-1
18591115,2,2,1,11001,1,1,2,-1,1,-1
18591115,3,4,1,11001,1,4,1,12,1,-1
18591149,1,1,1,11001,1,1,2,-1,1,-1
18591247,1,1,1,11001,1,1,2,-1,1,-1
18591248,1,2,2,11001,1,1,2,-1,1,-1
18591249,1,1,1,11001,1,1,2,-1,1,-1
18591249,2,2,2,11001,1,1,2,-1,1,-1
18591353,1,1,5,11001,1,3,2,-1,5,0
18591354,1,1,1,11001,1,1,1,12,4,75000
18591354,2,1,1,11001,1,1,2,-1,4,80000
18591355,1,4,1,11001,1,1,1,12,1,-1
18591491,1,2,1,BOGOTA,1,2,2,-1,2,0
18591491,2,4,1,BOGOTA,1,1,1,12,2,17500
18591506,1,1,1,99,1,1,2,-1,1,-1
18591508,1,1,1,11001,1,1,2,-1,1,-1
18591509,1,4,1,11001,1,1,1,12,1,-1
18591512,1,4,1,11001,1,1,1,12,1,-1
18591551,1,1,5,FUNZA,1,1,1,10,1,-1
18591551,2,4,1,BOGOTA,1,2,1,12,1,-1
18591551,3,4,1,BOGOTA,1,4,1,12,1,-1
18591557,1,4,1,11001,1,1,1,12,1,-1
18591570,1,1,1,377,4,-1,2,-1,1,-1
18591575,1,1,1,11001,4,-1,2,-1,1,-1
18591575,2,2,1,ESPINAL,4,-1,2,-1,1,-1
18591592,1,1,1,11001,1,2,2,-1,1,-1
18591601,1,4,1,BOGOTA,1,2,1,12,3,0
18591601,2,4,1,BOGOTA,1,3,1,12,3,0
18591601,3,4,1,BOGOTA,1,4,1,12,3,0
18591882,1,2,5,11001,1,1,1,4,4,80000
18591882,2,4,1,11001,1,4,1,12,1,-1
18591886,1,4,1,11001,1,1,1,12,1,-1
18591886,2,4,1,1101,1,2,1,12,1,-1
18591887,1,4,1,11001,1,1,1,12,1,-1
18591890,1,4,1,SOCORRO SANTANDER,1,1,1,12,1,-1
18592025,1,1,1,BOGOTA 11001,1,1,2,-1,2,121000
18592027,1,1,1,BOGOTA 11001,1,2,2,-1,5,0
18592029,1,1,1,BOGOTA 11001,1,1,2,-1,1,-1
18592131,1,1,1,BOGOTA,1,1,2,-1,1,-1
18592132,1,1,1,BOGOTA,1,1,2,-1,1,-1
18592136,1,1,1,BOGOTA,1,2,2,-1,1,-1
18592137,1,4,1,BOGOTA,1,1,2,-1,1,-1
18592145,1,4,1,11001,1,1,1,12,3,0
18592201,1,1,1,11001,1,1,2,-1,1,-1
18592202,1,4,1,11001,1,1,1,12,1,-1
18592203,1,1,1,11001,1,1,2,-1,1,-1
18592233,1,4,1,286,1,1,1,12,1,-1
18592304,1,4,1,FUNZA,1,1,2,-1,1,-1
18592305,1,1,1,BOGOTA,1,1,2,-1,1,-1
18592310,1,1,1,BOGOTA,1,1,1,10,1,-1
18592367,1,1,1,IBAGUE,1,1,2,-1,3,90000
18592367,2,1,1,11001,1,2,2,-1,1,-1
18592368,1,1,1,11001,1,2,2,-1,3,120000
18592369,1,1,1,11001,1,1,1,12,3,70000
18592369,2,1,2,11001,1,2,2,-1,3,70000
18592372,1,4,1,11001,4,-1,1,12,3,0
18592397,1,1,1,BOGOTA,1,1,2,-1,1,-1
18592400,1,4,1,BOGOTA,1,2,2,-1,1,-1
18592459,1,2,5,BOGOTA,1,2,2,-1,3,45000
18592541,1,5,4,BOGOTA,4,-1,2,-1,1,-1
18592545,1,1,1,BOGOTA,1,1,2,-1,1,-1
18592573,1,1,1,11001,1,1,2,-1,1,-1
18592573,2,1,1,11001,4,-1,2,-1,1,-1
18592573,3,4,1,11001,4,-1,1,12,1,-1
18592576,1,1,1,CHIA,1,1,2,-1,3,70000
18592577,1,2,1,11001,4,-1,2,-1,3,0
18592673,1,1,1,BOGOTA,1,1,2,-1,3,0
18592709,1,1,2,BOGOTA,1,1,2,-1,1,-1
18592745,1,4,1,BOGOTA,1,4,2,-1,1,-1
18592745,2,4,1,BOGOTA,1,3,2,-1,1,-1
18592748,1,4,1,CUNDINAMARCA,4,-1,1,12,1,-1
18592750,1,1,1,BOGOTA,1,3,2,-1,1,-1
18592750,2,4,1,BOGOTA,1,5,1,12,1,-1
18592752,1,1,1,BOGOTA,1,1,2,-1,1,-1
18592832,1,1,1,BOGOTA,1,1,2,-1,1,-1
18592835,1,4,1,BOGOTA,1,1,2,-1,1,-1
18592916,1,4,1,11001,1,1,1,12,1,-1
18593031,1,4,1,BOGOTA,1,1,1,12,1,-1
18593032,1,4,1,BOGOTA,1,1,2,-1,3,30000
18593038,1,1,1,11001,1,1,2,-1,1,-1
18593038,2,1,1,11001,1,2,2,-1,1,-1
18593082,1,1,1,LA VIRGINIA,1,3,1,3,1,-1
18593354,1,1,1,11001,1,1,2,-1,1,-1
18593354,2,4,1,BOGOTA,1,1,1,12,1,-1
18593366,1,1,1,11001,1,1,2,-1,1,-1
18593511,1,1,1,11001,1,1,2,-1,1,-1
18593834,1,1,1,BOGOTA,4,-1,2,-1,3,0
18594810,1,1,1,11001,2,-1,2,-1,1,-1
18594947,1,1,1,11001,1,1,2,-1,1,-1
18596213,1,1,1,11001,1,1,2,-1,1,-1
18596213,2,4,1,286,1,3,1,7,1,-1
18597630,1,1,1,11001,1,1,2,-1,1,-1
18597632,1,1,1,11001,1,1,2,-1,1,-1
18597634,1,1,1,11001,1,1,2,-1,2,80000
18597973,1,1,1,11001,1,1,2,-1,3,80000
18598141,1,1,1,11001,1,1,2,-1,3,80000
18598313,1,4,1,FUNZA,1,1,1,12,1,-1
18598316,1,1,1,MOSQUERA,1,1,2,-1,2,0
18598404,1,1,1,11001,4,-1,1,3,3,100000
18598624,1,5,5,11001,1,1,2,-1,1,-1
18598626,1,1,2,SOACHA,1,1,1,4,1,-1
18598723,1,1,1,11001,1,1,2,-1,4,30000
18598723,2,4,1,11001,1,1,2,-1,3,0
18598979,1,1,1,11001,1,2,2,-1,3,110000
18599125,1,4,1,11001,1,1,1,12,1,-1
18390069,1,1,5,11001,1,1,2,-1,1,-1
18390069,2,4,1,TUNJA,2,-1,1,12,3,0
18390891,1,1,1,BOGOTA,1,1,2,-1,4,170000
18390891,2,4,1,11001,1,1,1,12,3,90000
18391039,1,1,5,BOGOTA,1,1,2,-1,1,-1
18391039,2,4,1,TUNJA,1,1,1,12,3,0
