ID_ENCUESTA;ID_VEHICULO;CANTIDAD;FACTOR_EXP_CAL
18592742;13;1;1045.8480147821
19227624;4;1;381.4375
19260570;4;1;522.397769516729
19260570;13;1;522.397769516729
19085207;13;2;1563.84375
19271541;1;1;216.691194255589
23198388;13;1;64.4415732471974
23018866;4;1;1491.88202113525
23018866;13;1;1491.88202113525
22945497;1;1;28.0541967846461
22763320;1;1;87.8595617905872
19872396;1;1;59.1154165591007
19872396;11;3;59.1154165591007
19872396;13;2;59.1154165591007
19268519;4;1;316.702514681246
19270971;13;2;677.429671271569
19272586;4;1;1757.55992314027
19115479;5;1;1042.86412603205
19298201;4;1;435.697224574367
19298201;5;1;435.697224574367
18783121;4;1;3137.5440443463
19300697;13;1;411.713269085619
18712531;4;2;2091.6960295642
18712531;5;1;2091.6960295642
18712531;13;4;2091.6960295642
19312889;1;1;650.073582766767
18610196;4;1;1168.05220136473
19082565;1;1;1302.25573084633
19082565;11;1;1302.25573084633
19082565;13;2;1302.25573084633
19268518;4;2;316.702514681246
18681784;1;1;107.63743813856
18681784;13;1;107.63743813856
18609852;13;1;1176.57901662986
18712529;4;2;661.055837563452
18668220;13;1;1245.36735778841
19268774;13;1;781.649620697965
19271010;4;1;1265.56387096774
19400174;1;1;418.692005085495
19115111;4;1;377.604261297785
20136969;8;1;14.9601669195751
20136969;9;1;14.9601669195751
19418762;4;1;2668.64433811802
19418762;13;2;2668.64433811802
19803726;4;1;88.809349413329
19803726;9;1;88.809349413329
19732767;9;2;390.824810348982
19483434;1;1;90.7230046948357
19504919;1;1;297.961178866299
18570006;4;1;1898.08482721769
19805629;9;3;266.428048239987
19472814;1;1;16.7907060527871
18880632;1;1;816.253014403963
20247113;9;1;24.4228451676904
18676592;4;1;1245.36735778841
20250685;1;1;12.2114225838452
23069029;13;1;10.3675915576214
20839971;13;2;144.560023310023
22275663;3;1;662.348180549837
20758585;4;1;224.871147371147
20758585;11;2;224.871147371147
20758585;13;2;224.871147371147
19109231;2;1;71.7327586206897
23084346;1;1;291.337555224248
23219877;13;2;534.521658986175
19484622;13;1;2983.76404227049
19342202;2;1;213.126003019321
19271537;13;2;242.184275932717
20929857;13;1;1011.92016317016
19453801;13;1;2521.51069518717
19839623;4;1;66.9974721003141
19839623;13;2;66.9974721003141
23245862;13;1;21.4805244157325
19490612;1;1;99.4588014090164
19490612;8;2;99.4588014090164
19490612;9;2;99.4588014090164
19501464;13;2;36.2406435816719
19642205;1;1;38.0773311897106
22781061;13;1;125.513659700839
19852162;13;1;109.824452238234
19086051;1;1;611.398320507542
19086051;4;1;611.398320507542
21961749;4;1;11162.6733176435
19288750;1;1;91.0200011055424
18658559;13;1;2029.08559077133
22699670;6;1;73.216301492156
20027957;4;1;266.428048239987
